     table_name      |      column_name      |        data_type         
 users               | date_of_birth         | date
 users               | gender                | USER-DEFINED
 users               | loyalty_points        | integer
 users               | is_verified           | boolean
 users               | is_active             | boolean
 users               | last_login_at         | timestamp with time zone
 users               | deleted_at            | timestamp with time zone
 users               | created_at            | timestamp with time zone
 users               | updated_at            | timestamp with time zone
(175 rows)

